Source,Target,Weight,Type,origine,servizi
min_interno,c_milano,5,Directed,ricostruita,"C001 – Servizio Notifica; C002 – Servizio Comunicazione; ANPR – Verifica Autocertificazione; ANPR – Accertamento Anagrafico; C004 – Verifica Decesso"
min_interno,c_roma,5,Directed,ricostruita,"C001 – Servizio Notifica; C002 – Servizio Comunicazione; ANPR – Verifica Autocertificazione; ANPR – Accertamento Anagrafico; C004 – Verifica Decesso"
min_interno,c_napoli,4,Directed,ricostruita,"C001 – Servizio Notifica; C002 – Servizio Comunicazione; ANPR – Verifica Autocertificazione; ANPR – Accertamento Anagrafico"
min_interno,c_bologna,3,Directed,ricostruita,"C001 – Servizio Notifica; C002 – Servizio Comunicazione; ANPR – Verifica Autocertificazione"
min_interno,c_genova,3,Directed,ricostruita,"C001 – Servizio Notifica; C002 – Servizio Comunicazione; ANPR – Verifica Autocertificazione"
min_interno,c_padova,2,Directed,ricostruita,"C001 – Servizio Notifica; ANPR – Verifica Autocertificazione"
min_interno,comuni_agg,5,Directed,ricostruita,"C001 – Servizio Notifica; C002 – Servizio Comunicazione; ANPR – Verifica Autocertificazione; ANPR – Accertamento Anagrafico; C004 – Verifica Decesso"
min_interno,r_lombardia,4,Directed,ricostruita,"C001 – Servizio Notifica; C002 – Servizio Comunicazione; ANPR – Verifica Autocertificazione; ANPR – Accertamento Anagrafico"
min_interno,r_lazio,3,Directed,ricostruita,"C001 – Servizio Notifica; C002 – Servizio Comunicazione; ANPR – Verifica Autocertificazione"
min_interno,r_campania,2,Directed,ricostruita,"C001 – Servizio Notifica; ANPR – Verifica Autocertificazione"
min_interno,inps,5,Directed,ricostruita,"C001 – Servizio Notifica; C002 – Servizio Comunicazione; ANPR – Verifica Autocertificazione; ANPR – Accertamento Anagrafico; C004 – Verifica Decesso"
min_interno,ade,4,Directed,ricostruita,"C001 – Servizio Notifica; ANPR – Verifica Autocertificazione; ANPR – Accertamento Anagrafico; C004 – Verifica Decesso"
min_interno,r_liguria,5,Directed,ricostruita,"C001 – Servizio Notifica; C002 – Servizio Comunicazione; ANPR – Verifica Autocertificazione; ANPR – Accertamento Anagrafico; C004 – Verifica Decesso"
min_interno,r_toscana,5,Directed,ricostruita,"C001 – Servizio Notifica; C002 – Servizio Comunicazione; ANPR – Verifica Autocertificazione; ANPR – Accertamento Anagrafico; C004 – Verifica Decesso"
min_interno,r_molise,5,Directed,ricostruita,"C001 – Servizio Notifica; C002 – Servizio Comunicazione; ANPR – Verifica Autocertificazione; ANPR – Accertamento Anagrafico; C004 – Verifica Decesso"
min_interno,r_puglia,5,Directed,ricostruita,"C001 – Servizio Notifica; C002 – Servizio Comunicazione; ANPR – Verifica Autocertificazione; ANPR – Accertamento Anagrafico; C004 – Verifica Decesso"
min_interno,pa_trento,5,Directed,ricostruita,"C001 – Servizio Notifica; C002 – Servizio Comunicazione; ANPR – Verifica Autocertificazione; ANPR – Accertamento Anagrafico; C004 – Verifica Decesso"
min_interno,r_abruzzo,5,Directed,ricostruita,"C001 – Servizio Notifica; C002 – Servizio Comunicazione; ANPR – Verifica Autocertificazione; ANPR – Accertamento Anagrafico; C004 – Verifica Decesso"
min_interno,r_emilia,5,Directed,ricostruita,"C001 – Servizio Notifica; C002 – Servizio Comunicazione; ANPR – Verifica Autocertificazione; ANPR – Accertamento Anagrafico; C004 – Verifica Decesso"
min_interno,r_piemonte,5,Directed,ricostruita,"C001 – Servizio Notifica; C002 – Servizio Comunicazione; ANPR – Verifica Autocertificazione; ANPR – Accertamento Anagrafico; C004 – Verifica Decesso"
min_interno,r_veneto,5,Directed,ricostruita,"C001 – Servizio Notifica; C002 – Servizio Comunicazione; ANPR – Verifica Autocertificazione; ANPR – Accertamento Anagrafico; C004 – Verifica Decesso"
min_interno,r_marche,5,Directed,ricostruita,"C001 – Servizio Notifica; C002 – Servizio Comunicazione; ANPR – Verifica Autocertificazione; ANPR – Accertamento Anagrafico; C004 – Verifica Decesso"
min_interno,r_umbria,5,Directed,ricostruita,"C001 – Servizio Notifica; C002 – Servizio Comunicazione; ANPR – Verifica Autocertificazione; ANPR – Accertamento Anagrafico; C004 – Verifica Decesso"
min_interno,r_vda,5,Directed,ricostruita,"C001 – Servizio Notifica; C002 – Servizio Comunicazione; ANPR – Verifica Autocertificazione; ANPR – Accertamento Anagrafico; C004 – Verifica Decesso"
min_interno,r_basilicata,5,Directed,ricostruita,"C001 – Servizio Notifica; C002 – Servizio Comunicazione; ANPR – Verifica Autocertificazione; ANPR – Accertamento Anagrafico; C004 – Verifica Decesso"
min_interno,r_sardegna,5,Directed,ricostruita,"C001 – Servizio Notifica; C002 – Servizio Comunicazione; ANPR – Verifica Autocertificazione; ANPR – Accertamento Anagrafico; C004 – Verifica Decesso"
